video;prompt;original_video
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-50__5452807_resize1080p/5452807_resize1080p_canny_lc_Transform_to_a_Wise_Elderly_Man.mp4;Replace the man wearing the striped shirt with an elderly man with silver hair and gentle wrinkles, maintaining the same pose and position in the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-50__5452807_resize1080p/5452807_resize1080p.mp4_slice370-499.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_65__GMAd2XDMHts_76_19to443/GMAd2XDMHts_76_19to443_canny_lc_Casual_Summer_Jacket_Swap.mp4;Replace the woman’s bare upper body with a light blue casual summer jacket, ensuring her pose and position remain consistent in the video.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_65__GMAd2XDMHts_76_19to443/GMAd2XDMHts_76_19to443.mp4_slice1-122.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_33__rSU4dRXkBP0_10_0to415/rSU4dRXkBP0_10_0to415.mp4_slice181-278.mp4;Replace the elderly woman with a middle-aged woman with long blonde hair, ensuring she appears in the exact same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_33__rSU4dRXkBP0_10_0to415/rSU4dRXkBP0_10_0to415_canny_lc_Age_Transformation_to_Elderly_Woman.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-54__8076010_resize1080p/8076010_resize1080p.mp4_slice205-330.mp4;Replace the lush tropical palm plant with a green leafy plant with elongated leaves, ensuring it appears in the same position and pose within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-54__8076010_resize1080p/8076010_resize1080p_canny_lc_Lush_Tropical_Palm.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_37__lutzFuDa9k4_14_0to419/lutzFuDa9k4_14_0to419.mp4_slice56-161.mp4;Replace the polished gold luxury mixer and bowl with a metallic KitchenAid mixer and stainless steel bowl, preserving the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_37__lutzFuDa9k4_14_0to419/lutzFuDa9k4_14_0to419_canny_lc_Golden_Luxury_Mixer.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-56__8632769_resize1080p/8632769_resize1080p_canny_lc_Add_Stylish_Sunglasses.mp4;Add a pair of stylish black sunglasses to the woman, maintaining her seated position and pose within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-56__8632769_resize1080p/8632769_resize1080p.mp4_slice23-148.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_8__iwIadIWCj5I_35_0to114/iwIadIWCj5I_35_0to114_canny_lc_Blossoming_Spring_Tree.mp4;Replace the green-leaved tree with a blossoming spring tree adorned with pink and white flowers, maintaining the same position and pose in the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_8__iwIadIWCj5I_35_0to114/iwIadIWCj5I_35_0to114.mp4_slice20-85.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_44__f1II_aqof2M_37_0to327/f1II_aqof2M_37_0to327_canny_lc_Blooming_Cherry_Blossom_Bush.mp4;Replace the green bush with red flowers with a cherry blossom bush covered in soft pink blossoms, keeping the same position and pose within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_44__f1II_aqof2M_37_0to327/f1II_aqof2M_37_0to327.mp4_slice119-244.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-46__7646395_resize1080p/7646395_resize1080p.mp4_slice120-205.mp4;Remove the tortoiseshell sunglasses and pearl necklace from the woman, ensuring she appears in the same position and pose.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-46__7646395_resize1080p/7646395_resize1080p_canny_lc_Add_Stylish_Accessories.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__nRQ7fN7dOxc_12_0to136/nRQ7fN7dOxc_12_0to136_canny_lc_Transform_to_Elderly_Gentleman.mp4;Replace the man with an elderly gentleman with silver hair and wrinkles, wearing a light blue sweater, maintaining the exact same crouched pose and position within the video scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__nRQ7fN7dOxc_12_0to136/nRQ7fN7dOxc_12_0to136.mp4_slice6-95.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_44__I0uEm0YIV4k_6_0to570/I0uEm0YIV4k_6_0to570_canny_lc_Young_Woman_to_Elderly_Chef.mp4;Replace the woman with an elderly woman chef in her 70s, keeping the same position and pose within the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_44__I0uEm0YIV4k_6_0to570/I0uEm0YIV4k_6_0to570.mp4_slice98-195.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_4__BW0X_u02Bkc_89_0to132/BW0X_u02Bkc_89_0to132_canny_lc_Changing_Hair_Color_to_Platinum_Blonde.mp4;Replace the man’s hair color with platinum blonde, maintaining his exact pose and position in the scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_4__BW0X_u02Bkc_89_0to132/BW0X_u02Bkc_89_0to132.mp4_slice27-92.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-36__6120425_resize1080p/6120425_resize1080p.mp4_slice121-186.mp4;Replace the platinum blonde hair with the woman’s original dark brown hair, ensuring the same hairstyle, pose, and position remain.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-36__6120425_resize1080p/6120425_resize1080p_canny_lc_Platinum_Blonde_Hair_Color.mp4
