video;prompt;original_video
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pixabay_v2_tar__folder_11__13449-248520531_resize1080p/13449-248520531_resize1080p.mp4_slice90-187_add_a_colorful_kite_a_colorful_kite_composite.mp4;Overlay an animated colorful kite in the upper right portion of the sky. The kite should sway and flutter naturally as if caught by a breeze, tracked consistently to the background sky as the camera moves. The kite’s colors and shadows should respond realistically to the sunlight. All other parts of the video must remain unchanged.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pixabay_v2_tar__folder_11__13449-248520531_resize1080p/13449-248520531_resize1080p.mp4_slice90-187.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-53__8347435_resize1080p/8347435_resize1080p.mp4_slice249-362.mp4;Add the woman with long, dark hair, a serene expression, a light-colored flowing robe that drapes elegantly over her form, an upright poised posture, gracefully extended outward arms with palms facing upwards, deliberate fluid movements (including slight weight shifts and gentle sweeping arm motions), a focused intent gaze, and smooth continuous actions embodying a harmonious blend of elegance and poise (with her robe’s fabric subtly catching light to highlight her body’s natural folds and contours) into the video sequence. She must be tracked and integrated with consistent, realistic animation throughout the entire sequence, without altering any other video content.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-53__8347435_resize1080p/8347435_resize1080p.mp4_slice249-362_lr_woman.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_17__ctIZupMeebc_12_0to269/ctIZupMeebc_12_0to269.mp4_slice183-256.mp4;Add the rectangular light green background poster (featuring a whimsical chef's hat and spoon illustration alongside the bold, playful phrase 'LET'S COOK') to the kitchen setting's wall in the video sequence. The poster must be tracked and integrated realistically and consistently (maintaining its stationary, upright position and clear visibility) across all frames, without altering any other video content.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_17__ctIZupMeebc_12_0to269/ctIZupMeebc_12_0to269.mp4_slice183-256_lr_kitchen.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__qws17VhAYtM_8_215to354/qws17VhAYtM_8_215to354.mp4_slice13-86.mp4;Add a deep purple tie with a subtle ribbed texture into the video, ensuring the object is tracked and animated consistently and realistically throughout the sequence without altering other video content.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__qws17VhAYtM_8_215to354/qws17VhAYtM_8_215to354.mp4_slice13-86_lr_man's_purple_tie.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_2__rIXeDlgx5Rc_16_0to119/rIXeDlgx5Rc_16_0to119.mp4_slice3-108.mp4;Add a man with short dark hair, a plain white t-shirt, upright posture with a slightly tilted head, wide attentive eyes (reflecting curiosity or interest), and subtle movements (primarily slight head adjustments and gentle lip movements conveying communication or reaction to an unseen event) — whose facial expression shifts from a neutral slightly frowning look (with an initially slightly open mouth suggesting speaking or reacting) to a more open-mouthed smile — into the video sequence. He must be tracked and integrated realistically and consistently across all frames, without altering any other video content.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_2__rIXeDlgx5Rc_16_0to119/rIXeDlgx5Rc_16_0to119.mp4_slice3-108_lr_man.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-87__5330198_resize1080p/5330198_resize1080p.mp4_slice87-156_add_a_wall_painting_a_wall_painting_composite.mp4;Overlay an animated abstract wall painting above and to the right of the sofa, ensuring it is tracked to the wall as the camera moves. The painting should remain fixed relative to the wall, with subtle light reflections dynamically adapting to ambient lighting. All other parts of the video must remain unchanged.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-87__5330198_resize1080p/5330198_resize1080p.mp4_slice87-156.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-70__4551507_resize1080p/4551507_resize1080p.mp4_slice132-241.mp4;Add the table with the purple-hued rabbit drawing and colorful abstract design into the video sequence. It must be tracked and integrated realistically and consistently across all frames, without altering any other video content.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-70__4551507_resize1080p/4551507_resize1080p.mp4_slice132-241_lr_table.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_36__FvNEVuIG2E8_31_45to238/FvNEVuIG2E8_31_45to238.mp4_slice30-151.mp4;Add the young girl with blonde hair tied back in a ponytail, wearing a pink t-shirt with a prominent logo and bright pink shorts with a playful pattern, into the video sequence. She must be tracked and integrated realistically and consistently across all frames, without altering any other video content.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_36__FvNEVuIG2E8_31_45to238/FvNEVuIG2E8_31_45to238.mp4_slice30-151_lr_girl.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-11__12433101_resize1080p/12433101_resize1080p.mp4_slice220-293.mp4;Add the exact same tall, elegant palm plant with vibrant green, feathery fronds, swaying gently, into the video. It must be tracked and animated realistically and consistently across all frames, without altering any other video content.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-11__12433101_resize1080p/12433101_resize1080p.mp4_slice220-293_lr_plant.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-51__8342561_resize1080p/8342561_resize1080p.mp4_slice51-136.mp4;Add a white, fabric mask with a smooth, slightly crumpled texture into the video, ensuring the object is tracked and animated consistently and realistically throughout the sequence without altering other video content.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-51__8342561_resize1080p/8342561_resize1080p.mp4_slice51-136_lr_woman's_white_face_mask.mp4
