video;prompt;original_video
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_7__KfgY1aVDTjY_71_28to210/KfgY1aVDTjY_71_28to210.mp4_slice19-116.mp4;Track the white kitchen towel on the countertop edge throughout the entire video. For each frame, remove the towel and its shadow, then inpaint the occluded area by referencing the surrounding stainless steel countertop texture and motion from adjacent frames, ensuring a perfect, flicker-free restoration.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_7__KfgY1aVDTjY_71_28to210/KfgY1aVDTjY_71_28to210.mp4_slice19-116_add_a_kitchen_towel_a_kitchen_towel_composite.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_55__QUZ_166qDyQ_7_0to367/QUZ_166qDyQ_7_0to367.mp4_slice227-352_lr_car.mp4;Remove the sleek, modern metallic gray SUV with distinctive chrome accents, a front grille adorned with a prominent emblem, sharp angular bright focused headlights, a centrally positioned 'CS ARCROSS' license plate, red front bumper accents, smooth aerodynamic lines, and a stationary, powerfully sophisticated presence from the entire video sequence. The background must be reconstructed with temporal consistency, and all other video content must remain unchanged.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_55__QUZ_166qDyQ_7_0to367/QUZ_166qDyQ_7_0to367.mp4_slice227-352.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_22__CBE5_GRRqcE_3_0to307/CBE5_GRRqcE_3_0to307.mp4_slice74-163_lr_microphone.mp4;Remove the deep blue fabric-covered microphone with a shield crest (crown at top, 'FC' beneath) from the entire video. The background must be reconstructed with strict temporal consistency, ensuring all other video content remains unaltered.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_22__CBE5_GRRqcE_3_0to307/CBE5_GRRqcE_3_0to307.mp4_slice74-163.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-3__5873418_resize1080p/5873418_resize1080p.mp4_slice88-209_lr_man.mp4;Remove the confidently standing person dressed in a light-colored sweater and blue jeans with a backpack slung over their shoulders—who has a relaxed yet attentive posture with hands casually placed on their hips, observes their surroundings (possibly taking in a park’s beauty), subtly shifts their weight from one leg to the other (suggesting a calm and leisurely demeanor) as the sequence progresses, has a slightly tilted head (indicating potential engagement in thought or conversation), maintains a steady stance exuding ease and comfort in the natural setting, and conveys an overall sense of quiet contemplation while enjoying a moment of tranquility—from the entire video sequence. The background must be reconstructed with temporal consistency, and all other video content must remain unchanged.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-3__5873418_resize1080p/5873418_resize1080p.mp4_slice88-209.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_13__icnI2UAgfIw_0_0to186/icnI2UAgfIw_0_0to186.mp4_slice68-157_lr_man.mp4;Remove the man with a light beard and mustache, upward-styled hair, and a black hoodie with white lettering on the front—who performs a sequence of expressive movements including an initial slightly open mouth (as if speaking or reacting), wide animated eyes conveying engagement or surprise, subtle shifts to narrowed eyes and a mouth closer to his lips (suggesting a conversational tone change), a slight head tilt (indicating redirected attention), an animated lively demeanor, and occasional wider mouth openings (as if laughing or expressing excitement) to capture natural fluid engagement and communication—from the entire video. The background must be reconstructed with temporal consistency, and all other video content must remain unchanged.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_13__icnI2UAgfIw_0_0to186/icnI2UAgfIw_0_0to186.mp4_slice68-157.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-63__8834376_resize1080p/8834376_resize1080p.mp4_slice12-117.mp4;Track the bicycle leaning on the building near the entrance throughout the video. For each frame, remove the bicycle and its shadow, then inpaint the pavement and wall behind it by referencing adjacent frames to ensure a seamless and flicker-free restoration.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-63__8834376_resize1080p/8834376_resize1080p.mp4_slice12-117_add_a_bicycle_a_bicycle_composite.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_23__T4o1uQDt6FY_12_444to665/T4o1uQDt6FY_12_444to665.mp4_slice115-184.mp4;Track the modern smartphone on the table throughout the entire video. For each frame, remove the phone and its shadow, then inpaint the occluded area by referencing the surrounding white table texture and motion from adjacent frames, ensuring a perfect, flicker-free restoration.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_23__T4o1uQDt6FY_12_444to665/T4o1uQDt6FY_12_444to665.mp4_slice115-184_add_a_smartphone_a_smartphone_composite.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_18__1gV0sQ1fmn4_7_0to154/1gV0sQ1fmn4_7_0to154.mp4_slice30-111.mp4;Track the transparent plastic water bottle in the person's hand throughout the video. For each frame, remove the bottle and its shadow, then inpaint the hand and jacket area by referencing surrounding textures and motion from adjacent frames, ensuring a flicker-free, seamless restoration.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_18__1gV0sQ1fmn4_7_0to154/1gV0sQ1fmn4_7_0to154.mp4_slice30-111_add_a_water_bottle_a_water_bottle_composite.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_89__xkmKI66IJIA_2_0to1409/xkmKI66IJIA_2_0to1409.mp4_slice579-656.mp4;Track the black backpack leaning against the left front side of the yellow vehicle throughout the video. For each frame, remove the backpack and its shadow, then inpaint the floor and vehicle side panel using surrounding textures and lighting from adjacent frames to ensure a seamless, flicker-free restoration.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_89__xkmKI66IJIA_2_0to1409/xkmKI66IJIA_2_0to1409.mp4_slice579-656_add_a_black_backpack_a_black_backpack_composite.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-80__7424081_resize1080p/7424081_resize1080p.mp4_slice87-184.mp4;Track the pair of scissors on the counter throughout the video. For each frame, remove the scissors and their shadow, then inpaint the counter surface behind them using surrounding texture and lighting information to ensure a seamless, flicker-free restoration.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-80__7424081_resize1080p/7424081_resize1080p.mp4_slice87-184_add_a_pair_of_scissors_a_pair_of_scissors_composite.mp4
