video;prompt;original_video
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_18__jjt53w5s5bg_0_0to233/jjt53w5s5bg_0_0to233.mp4_slice131-220.mp4;Convert this Cartoon-animated video back to a live-action, photorealistic format. Systematically strip away the animated style by reducing outlines, normalizing shape proportions, adjusting colors to natural ranges, and restoring real-world textures and lighting to each frame. It is critical that the temporal flow, motion patterns, and all narrative elements—including dialogue, actions, and camera work—remain completely unchanged from the original video.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_18__jjt53w5s5bg_0_0to233/jjt53w5s5bg_0_0to233_canny_gs_Cartoon_Style.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__ecfa934b-fe63-4385-8f87-62c637971ba2/ecfa934b-fe63-4385-8f87-62c637971ba2_canny_gs_Aesthetic_Ancient-style.mp4;Apply the Aesthetic Ancient style to this video, ensuring seamless temporal consistency across all frames. The result should emulate ancient art techniques, such as fresco-like textures and muted, earthy color palettes. All original motion, character actions, camera movements, and narrative flow must be preserved intact.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__ecfa934b-fe63-4385-8f87-62c637971ba2/ecfa934b-fe63-4385-8f87-62c637971ba2.mp4_slice25-130.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_62__ASHrB7W_akM_33_0to536/ASHrB7W_akM_33_0to536.mp4_slice23-148.mp4;Convert this cartoon-animated video back to a live-action, photorealistic format. Methodically remove the animated style elements—including simplified shapes, flat shading, and stylized motion—while restoring real-world textures, natural lighting, and organic movements. It is critical that the temporal continuity, motion trajectories, and all narrative elements remain entirely unchanged, ensuring the video feels like a direct live-action capture of the original scene.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_62__ASHrB7W_akM_33_0to536/ASHrB7W_akM_33_0to536_canny_gs_Cartoon_Style.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-72__7474480_resize1080p/7474480_resize1080p.mp4_slice254-351.mp4;Convert this Aesthetic Ancient-styled video back to a live-action, photorealistic format. Systematically remove the soft, diffused lighting and muted palettes, restoring natural, dynamic lighting and vivid, accurate colors. Strip away textured surfaces to reveal crisp, realistic details, while preserving the original temporal flow, motion, and all narrative elements intact.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-72__7474480_resize1080p/7474480_resize1080p_canny_gs_Aesthetic_Ancient-style.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_7__o43i7c1gtMw_93_43to259/o43i7c1gtMw_93_43to259_canny_gs_Sketch_Style.mp4;Apply the Sketch animation style to this video, ensuring seamless temporal consistency across all frames. The final output should exhibit the dynamic, illustrative qualities of hand-drawn sketches, with consistent line work and shading, while perfectly preserving the original motion, character actions, camera movements, and narrative flow.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_7__o43i7c1gtMw_93_43to259/o43i7c1gtMw_93_43to259.mp4_slice64-169.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-94__16387834_resize1080p/16387834_resize1080p.mp4_slice203-292.mp4;Convert this Gongbi-animated video back to a live-action, photorealistic format. Systematically strip away the animated Gongbi elements, restoring real-world textures, natural lighting, and lifelike details frame by frame. It is critical that the temporal flow, motion sequences, character actions, and camera movements remain unaltered, preserving the original narrative and visual integrity of the video.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-94__16387834_resize1080p/16387834_resize1080p_canny_gs_Gongbi_Style.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_8__9cyIaexLBtI_49_0to118/9cyIaexLBtI_49_0to118.mp4_slice0-93.mp4;Convert this sketch-animated video back to a live-action, photorealistic format. Methodically remove the sketch-specific artistic elements—including illustrative outlines, stylized textures, and animated sketch effects—while restoring real-world lighting, surface details, and natural motion across every frame. It is critical that the temporal continuity, character actions, and camera dynamics are preserved in full, with the only change being the visual style transitioning to photorealism.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_8__9cyIaexLBtI_49_0to118/9cyIaexLBtI_49_0to118_canny_gs_Sketch_Style.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-72__8522961_resize1080p/8522961_resize1080p.mp4_slice82-155.mp4;Convert this oil-painted video back to a live-action, photorealistic format by systematically reducing brushstroke intensity, enhancing natural textures, and restoring lifelike lighting across all frames. It is critical that the temporal flow, motion, and all narrative elements remain entirely unchanged.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-72__8522961_resize1080p/8522961_resize1080p_canny_gs_Oil_Painting_Style.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__cde253de-cd26-4b5b-a0e2-7bdebae6c736/cde253de-cd26-4b5b-a0e2-7bdebae6c736.mp4_slice0-81.mp4;Convert this Pop Art-animated video back to a live-action, photorealistic format. Methodically strip away the animated style elements—including bold colors, graphic patterns, and Ben-Day dots—restoring real-world textures, natural lighting, and lifelike details to every frame. Ensure that the temporal flow, motion, and all narrative elements, such as character dialogue and camera pacing, remain entirely unchanged, creating a faithful, smooth transition from stylized animation to authentic live action.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__cde253de-cd26-4b5b-a0e2-7bdebae6c736/cde253de-cd26-4b5b-a0e2-7bdebae6c736_canny_gs_Pop_Art.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__EWkYpNCwwjQ_8_0to145/EWkYpNCwwjQ_8_0to145_canny_gs_Aesthetic_Ancient-style.mp4;Apply the Aesthetic Ancient-style to this video, ensuring seamless temporal consistency across all frames. The final output should exhibit the style's signature aesthetic—soft hues, hand-painted textures, and ancient motifs—while maintaining the original motion, character actions, and camera movements. Each frame must blend harmoniously with the next to avoid flickering or jarring transitions.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__EWkYpNCwwjQ_8_0to145/EWkYpNCwwjQ_8_0to145.mp4_slice28-145.mp4
