video;prompt;original_video
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__42QuXLucH3Q_8_20to202/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_3__42QuXLucH3Q_8_20to202/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-51__8363243_resize1080p/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-51__8363243_resize1080p/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__e20cbcce-0e84-41a8-80a5-1fc130ab3b73/camera_medium.mp4;Convert the wide shot video to a medium shot, maintaining the original scene context and key subject focus.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__e20cbcce-0e84-41a8-80a5-1fc130ab3b73/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__d961199f-0f4f-4813-b6f3-88317a378456/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__d961199f-0f4f-4813-b6f3-88317a378456/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-45__6991615_resize1080p/camera_medium.mp4;Convert the wide shot video to a medium shot, maintaining the original scene context and key subject focus.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-45__6991615_resize1080p/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_76__pl6Ek_sknb4_1_465to1199/camera_medium.mp4;Convert the wide shot video to a medium shot, maintaining the original scene context and key subject focus.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_76__pl6Ek_sknb4_1_465to1199/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-25__8903018_resize1080p/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-25__8903018_resize1080p/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pixabay_v2_tar__folder_19__16939-277302917_resize1080p/camera_close.mp4;Convert the wide shot to a close-up, zooming in on the primary subject without losing visual clarity.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pixabay_v2_tar__folder_19__16939-277302917_resize1080p/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-84__6478020_resize1080p/camera_close.mp4;Convert the wide shot to a close-up, zooming in on the primary subject without losing visual clarity.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-84__6478020_resize1080p/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__be03fc85-2cf3-4daa-aba8-05996e44fe25/camera_wide.mp4;Adjust the close-up footage to a wide shot, expanding the frame to include full environmental context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/ultravideo/clips_short_1920__be03fc85-2cf3-4daa-aba8-05996e44fe25/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-65__7106817_resize1080p/camera_wide.mp4;Shift the medium shot to a wide shot, preserving the subject’s position while widening the scene perspective.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-65__7106817_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_8__T-GEdPwgpyE_1_0to132/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_8__T-GEdPwgpyE_1_0to132/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_41__3nmBY1pnQeM_8_21to165/camera_medium.mp4;Convert the wide shot video to a medium shot, maintaining the original scene context and key subject focus.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_41__3nmBY1pnQeM_8_21to165/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-88__20172757_resize1080p/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-88__20172757_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_21__wfisdls1PfI_37_0to145/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_21__wfisdls1PfI_37_0to145/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_35__B4iz-VVap1w_1_0to152/camera_wide.mp4;Shift the medium shot to a wide shot, preserving the subject’s position while widening the scene perspective.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_35__B4iz-VVap1w_1_0to152/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_5__LcTcP7yGdq4_38_0to110/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_5__LcTcP7yGdq4_38_0to110/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-41__7205344_resize1080p/camera_wide.mp4;Shift the medium shot to a wide shot, preserving the subject’s position while widening the scene perspective.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-41__7205344_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-26__18842356_resize1080p/camera_wide.mp4;Shift the medium shot to a wide shot, preserving the subject’s position while widening the scene perspective.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-26__18842356_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-84__7334912_resize1080p/camera_wide.mp4;Adjust the close-up footage to a wide shot, expanding the frame to include full environmental context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-84__7334912_resize1080p/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-81__9463680_resize1080p/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-81__9463680_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_16__iNZaUhNFL0A_47_42to250/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_16__iNZaUhNFL0A_47_42to250/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_24__9awxI4ogAwo_2_168to405/camera_close.mp4;Convert the wide shot to a close-up, zooming in on the primary subject without losing visual clarity.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_24__9awxI4ogAwo_2_168to405/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_80___bcwlsSzPDk_16_18to670/camera_close.mp4;Convert the wide shot to a close-up, zooming in on the primary subject without losing visual clarity.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_80___bcwlsSzPDk_16_18to670/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-86__19952500_resize1080p/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-86__19952500_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-51__20442432_resize1080p/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-51__20442432_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_12___7Vpuyz0sBc_90_0to154/camera_close.mp4;Convert the wide shot to a close-up, zooming in on the primary subject without losing visual clarity.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_12___7Vpuyz0sBc_90_0to154/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_53__FgG1u5JWkJs_19_0to339/camera_wide.mp4;Shift the medium shot to a wide shot, preserving the subject’s position while widening the scene perspective.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_53__FgG1u5JWkJs_19_0to339/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-55__9430417_resize1080p/camera_wide.mp4;Adjust the close-up footage to a wide shot, expanding the frame to include full environmental context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-55__9430417_resize1080p/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-44__10602946_resize1080p/camera_medium.mp4;Transform the close-up video to a medium shot, pulling back to include the primary subject’s core form and immediate surrounding context.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-44__10602946_resize1080p/camera_close.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_14__1UtX6trRfII_1_0to136/camera_close.mp4;Convert the wide shot to a close-up, zooming in on the primary subject without losing visual clarity.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/part_14__1UtX6trRfII_1_0to136/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_34__O3F1_dgc5VA_1_0to377/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_34__O3F1_dgc5VA_1_0to377/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_98__RznRgdTK6Ng_2_0to1459/camera_medium.mp4;Convert the wide shot video to a medium shot, maintaining the original scene context and key subject focus.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_98__RznRgdTK6Ng_2_0to1459/camera_wide.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-75__5514363_resize1080p/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/pexels__5000-75__5514363_resize1080p/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/all_mixkit__Trains__mixkit-close-up-of-a-saxophonist-in-an-abandoned-spot-40411/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/opensoraplan/all_mixkit__Trains__mixkit-close-up-of-a-saxophonist-in-an-abandoned-spot-40411/camera_medium.mp4
/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_18__1k4FIuNro2c_10_95to274/camera_close.mp4;Transform this medium shot into a close-up, emphasizing the primary subject’s key features and core details.;/mnt/bn/genai-global-apply-ml/haoyanghe/datas/videos/UniVEdit_prepare/openvidhd/OpenVidHD_part_18__1k4FIuNro2c_10_95to274/camera_medium.mp4
